iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
30,"(16, 3)","(17, 3)",West,"[('(17, 3)', 'East', 1), ('(15, 3)', 'West', 1)]","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(16, 3)']","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(15, 3)']","['(31, 5)', '(34, 1)', '(28, 3)', '(17, 3)', '(19, 3)', '(32, 3)', '(35, 2)', '(29, 4)', '(31, 4)', '(21, 3)', '(31, 1)', '(23, 3)', '(34, 3)', '(27, 3)', '(30, 5)', '(33, 1)', '(25, 3)', '(35, 1)', '(16, 3)', '(18, 3)', '(29, 3)', '(31, 3)', '(20, 3)', '(22, 3)', '(33, 3)', '(35, 3)', '(24, 3)', '(26, 3)', '(29, 5)', '(31, 2)']",25,0,25
31,"(15, 3)","(16, 3)",West,"[('(15, 4)', 'North', 1), ('(15, 2)', 'South', 1), ('(16, 3)', 'East', 1), ('(14, 3)', 'West', 1)]","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(15, 3)']","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(15, 4)', '(15, 2)', '(14, 3)']","['(31, 5)', '(34, 1)', '(28, 3)', '(17, 3)', '(19, 3)', '(32, 3)', '(35, 2)', '(29, 4)', '(31, 4)', '(21, 3)', '(31, 1)', '(23, 3)', '(34, 3)', '(27, 3)', '(30, 5)', '(33, 1)', '(25, 3)', '(35, 1)', '(16, 3)', '(18, 3)', '(29, 3)', '(31, 3)', '(20, 3)', '(22, 3)', '(33, 3)', '(35, 3)', '(24, 3)', '(26, 3)', '(15, 3)', '(29, 5)', '(31, 2)']",26,0,26
32,"(14, 3)","(15, 3)",West,"[('(15, 3)', 'East', 1), ('(13, 3)', 'West', 1)]","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(15, 4)', '(15, 2)', '(14, 3)']","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(15, 4)', '(15, 2)', '(13, 3)']","['(31, 5)', '(34, 1)', '(28, 3)', '(17, 3)', '(19, 3)', '(32, 3)', '(35, 2)', '(29, 4)', '(31, 4)', '(21, 3)', '(31, 1)', '(23, 3)', '(34, 3)', '(14, 3)', '(27, 3)', '(30, 5)', '(33, 1)', '(25, 3)', '(35, 1)', '(16, 3)', '(18, 3)', '(29, 3)', '(31, 3)', '(20, 3)', '(22, 3)', '(33, 3)', '(35, 3)', '(24, 3)', '(26, 3)', '(15, 3)', '(29, 5)', '(31, 2)']",27,0,27
33,"(13, 3)","(14, 3)",West,"[('(13, 4)', 'North', 1), ('(14, 3)', 'East', 1)]","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(15, 4)', '(15, 2)', '(13, 3)']","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(15, 4)', '(15, 2)', '(13, 4)']","['(31, 5)', '(34, 1)', '(28, 3)', '(17, 3)', '(19, 3)', '(32, 3)', '(35, 2)', '(29, 4)', '(31, 4)', '(21, 3)', '(31, 1)', '(23, 3)', '(34, 3)', '(14, 3)', '(27, 3)', '(30, 5)', '(33, 1)', '(25, 3)', '(35, 1)', '(16, 3)', '(18, 3)', '(29, 3)', '(31, 3)', '(20, 3)', '(22, 3)', '(33, 3)', '(35, 3)', '(24, 3)', '(13, 3)', '(26, 3)', '(15, 3)', '(29, 5)', '(31, 2)']",28,0,28
34,"(13, 4)","(13, 3)",North,"[('(13, 5)', 'North', 1), ('(13, 3)', 'South', 1)]","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(15, 4)', '(15, 2)', '(13, 4)']","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(15, 4)', '(15, 2)', '(13, 5)']","['(31, 5)', '(34, 1)', '(28, 3)', '(17, 3)', '(19, 3)', '(32, 3)', '(35, 2)', '(29, 4)', '(31, 4)', '(21, 3)', '(31, 1)', '(23, 3)', '(34, 3)', '(14, 3)', '(27, 3)', '(30, 5)', '(33, 1)', '(13, 4)', '(25, 3)', '(35, 1)', '(16, 3)', '(18, 3)', '(29, 3)', '(31, 3)', '(20, 3)', '(22, 3)', '(33, 3)', '(35, 3)', '(24, 3)', '(13, 3)', '(26, 3)', '(15, 3)', '(29, 5)', '(31, 2)']",29,0,29
35,"(13, 5)","(13, 4)",North,"[('(13, 4)', 'South', 1)]","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(15, 4)', '(15, 2)', '(13, 5)']","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(15, 4)', '(15, 2)']","['(31, 5)', '(34, 1)', '(28, 3)', '(17, 3)', '(19, 3)', '(32, 3)', '(35, 2)', '(13, 5)', '(29, 4)', '(31, 4)', '(21, 3)', '(31, 1)', '(23, 3)', '(34, 3)', '(14, 3)', '(27, 3)', '(30, 5)', '(33, 1)', '(13, 4)', '(25, 3)', '(35, 1)', '(16, 3)', '(18, 3)', '(29, 3)', '(31, 3)', '(20, 3)', '(22, 3)', '(33, 3)', '(35, 3)', '(24, 3)', '(13, 3)', '(26, 3)', '(15, 3)', '(29, 5)', '(31, 2)']",30,0,30
36,"(15, 2)","(15, 3)",South,"[('(15, 3)', 'North', 1), ('(15, 1)', 'South', 1)]","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(15, 4)', '(15, 2)']","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(15, 4)', '(15, 1)']","['(31, 5)', '(34, 1)', '(28, 3)', '(17, 3)', '(19, 3)', '(32, 3)', '(35, 2)', '(13, 5)', '(15, 2)', '(29, 4)', '(31, 4)', '(21, 3)', '(31, 1)', '(23, 3)', '(34, 3)', '(14, 3)', '(27, 3)', '(30, 5)', '(33, 1)', '(13, 4)', '(25, 3)', '(35, 1)', '(16, 3)', '(18, 3)', '(29, 3)', '(31, 3)', '(20, 3)', '(22, 3)', '(33, 3)', '(35, 3)', '(24, 3)', '(13, 3)', '(26, 3)', '(15, 3)', '(29, 5)', '(31, 2)']",27,0,27
37,"(15, 1)","(15, 2)",South,"[('(15, 2)', 'North', 1), ('(16, 1)', 'East', 1)]","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(15, 4)', '(15, 1)']","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(15, 4)', '(16, 1)']","['(31, 5)', '(34, 1)', '(28, 3)', '(17, 3)', '(19, 3)', '(32, 3)', '(35, 2)', '(13, 5)', '(15, 2)', '(29, 4)', '(31, 4)', '(21, 3)', '(31, 1)', '(23, 3)', '(34, 3)', '(14, 3)', '(27, 3)', '(30, 5)', '(33, 1)', '(13, 4)', '(25, 3)', '(35, 1)', '(16, 3)', '(15, 1)', '(18, 3)', '(29, 3)', '(31, 3)', '(20, 3)', '(22, 3)', '(33, 3)', '(35, 3)', '(24, 3)', '(13, 3)', '(26, 3)', '(15, 3)', '(29, 5)', '(31, 2)']",28,0,28
38,"(16, 1)","(15, 1)",East,"[('(17, 1)', 'East', 1), ('(15, 1)', 'West', 1)]","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(15, 4)', '(16, 1)']","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(15, 4)', '(17, 1)']","['(31, 5)', '(34, 1)', '(28, 3)', '(17, 3)', '(19, 3)', '(32, 3)', '(35, 2)', '(13, 5)', '(15, 2)', '(16, 1)', '(29, 4)', '(31, 4)', '(21, 3)', '(31, 1)', '(23, 3)', '(34, 3)', '(14, 3)', '(27, 3)', '(30, 5)', '(33, 1)', '(13, 4)', '(25, 3)', '(35, 1)', '(16, 3)', '(15, 1)', '(18, 3)', '(29, 3)', '(31, 3)', '(20, 3)', '(22, 3)', '(33, 3)', '(35, 3)', '(24, 3)', '(13, 3)', '(26, 3)', '(15, 3)', '(29, 5)', '(31, 2)']",29,0,29
39,"(17, 1)","(16, 1)",East,"[('(16, 1)', 'West', 1)]","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(15, 4)', '(17, 1)']","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(15, 4)']","['(31, 5)', '(34, 1)', '(28, 3)', '(17, 3)', '(19, 3)', '(32, 3)', '(35, 2)', '(13, 5)', '(15, 2)', '(16, 1)', '(29, 4)', '(31, 4)', '(21, 3)', '(31, 1)', '(23, 3)', '(34, 3)', '(14, 3)', '(27, 3)', '(30, 5)', '(33, 1)', '(13, 4)', '(25, 3)', '(35, 1)', '(16, 3)', '(15, 1)', '(18, 3)', '(29, 3)', '(31, 3)', '(20, 3)', '(22, 3)', '(17, 1)', '(33, 3)', '(35, 3)', '(24, 3)', '(13, 3)', '(26, 3)', '(15, 3)', '(29, 5)', '(31, 2)']",30,0,30
