iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
25,"(29, 5)","(30, 5)",West,"[('(29, 4)', 'South', 1), ('(30, 5)', 'East', 1)]","['(31, 8)', '(29, 5)']","['(29, 4)', '(31, 8)']","['(31, 5)', '(34, 1)', '(34, 7)', '(33, 5)', '(32, 3)', '(35, 2)', '(35, 5)', '(31, 4)', '(31, 1)', '(31, 7)', '(34, 3)', '(30, 5)', '(33, 4)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(35, 7)', '(31, 6)', '(31, 3)', '(33, 3)', '(33, 6)', '(35, 3)', '(29, 5)', '(31, 2)']",10,0,10
26,"(31, 8)","(31, 7)",North,"[('(31, 9)', 'North', 1), ('(31, 7)', 'South', 1)]","['(29, 4)', '(31, 8)']","['(31, 9)', '(29, 4)']","['(31, 5)', '(34, 1)', '(34, 7)', '(31, 8)', '(33, 5)', '(32, 3)', '(35, 2)', '(35, 5)', '(31, 4)', '(31, 1)', '(31, 7)', '(34, 3)', '(30, 5)', '(33, 4)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(35, 7)', '(31, 6)', '(31, 3)', '(33, 3)', '(33, 6)', '(35, 3)', '(29, 5)', '(31, 2)']",11,0,11
27,"(29, 4)","(29, 5)",South,"[('(29, 5)', 'North', 1), ('(29, 3)', 'South', 1)]","['(31, 9)', '(29, 4)']","['(29, 3)', '(31, 9)']","['(31, 5)', '(34, 1)', '(34, 7)', '(31, 8)', '(33, 5)', '(32, 3)', '(35, 2)', '(35, 5)', '(29, 4)', '(31, 4)', '(31, 1)', '(31, 7)', '(34, 3)', '(30, 5)', '(33, 4)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(35, 7)', '(31, 6)', '(31, 3)', '(33, 3)', '(33, 6)', '(35, 3)', '(29, 5)', '(31, 2)']",11,0,11
28,"(31, 9)","(31, 8)",North,"[('(31, 10)', 'North', 1), ('(31, 8)', 'South', 1), ('(32, 9)', 'East', 1)]","['(29, 3)', '(31, 9)']","['(32, 9)', '(31, 10)', '(29, 3)']","['(31, 5)', '(34, 1)', '(34, 7)', '(31, 8)', '(33, 5)', '(32, 3)', '(35, 2)', '(35, 5)', '(29, 4)', '(31, 4)', '(31, 1)', '(31, 7)', '(34, 3)', '(30, 5)', '(33, 4)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(35, 7)', '(31, 6)', '(31, 3)', '(31, 9)', '(33, 3)', '(33, 6)', '(35, 3)', '(29, 5)', '(31, 2)']",12,0,12
29,"(29, 3)","(29, 4)",South,"[('(29, 4)', 'North', 1), ('(28, 3)', 'West', 1)]","['(32, 9)', '(31, 10)', '(29, 3)']","['(28, 3)', '(32, 9)', '(31, 10)']","['(31, 5)', '(34, 1)', '(34, 7)', '(31, 8)', '(33, 5)', '(32, 3)', '(35, 2)', '(35, 5)', '(29, 4)', '(31, 4)', '(31, 1)', '(31, 7)', '(34, 3)', '(30, 5)', '(33, 4)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(35, 7)', '(29, 3)', '(31, 6)', '(31, 3)', '(31, 9)', '(33, 3)', '(33, 6)', '(35, 3)', '(29, 5)', '(31, 2)']",12,0,12
30,"(31, 10)","(31, 9)",North,"[('(31, 11)', 'North', 1), ('(31, 9)', 'South', 1)]","['(28, 3)', '(32, 9)', '(31, 10)']","['(31, 11)', '(28, 3)', '(32, 9)']","['(31, 5)', '(34, 1)', '(34, 7)', '(31, 8)', '(33, 5)', '(32, 3)', '(35, 2)', '(35, 5)', '(29, 4)', '(31, 4)', '(31, 1)', '(31, 7)', '(34, 3)', '(31, 10)', '(30, 5)', '(33, 4)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(35, 7)', '(29, 3)', '(31, 6)', '(31, 3)', '(31, 9)', '(33, 3)', '(33, 6)', '(35, 3)', '(29, 5)', '(31, 2)']",13,0,13
31,"(32, 9)","(31, 9)",East,"[('(33, 9)', 'East', 1), ('(31, 9)', 'West', 1)]","['(31, 11)', '(28, 3)', '(32, 9)']","['(33, 9)', '(31, 11)', '(28, 3)']","['(31, 5)', '(34, 1)', '(34, 7)', '(31, 8)', '(33, 5)', '(32, 3)', '(35, 2)', '(32, 9)', '(35, 5)', '(29, 4)', '(31, 4)', '(31, 1)', '(31, 7)', '(34, 3)', '(31, 10)', '(30, 5)', '(33, 4)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(35, 7)', '(29, 3)', '(31, 6)', '(31, 3)', '(31, 9)', '(33, 3)', '(33, 6)', '(35, 3)', '(29, 5)', '(31, 2)']",13,0,13
32,"(28, 3)","(29, 3)",West,"[('(29, 3)', 'East', 1), ('(27, 3)', 'West', 1)]","['(33, 9)', '(31, 11)', '(28, 3)']","['(27, 3)', '(33, 9)', '(31, 11)']","['(31, 5)', '(34, 1)', '(34, 7)', '(31, 8)', '(28, 3)', '(33, 5)', '(32, 3)', '(35, 2)', '(32, 9)', '(35, 5)', '(29, 4)', '(31, 4)', '(31, 1)', '(31, 7)', '(34, 3)', '(31, 10)', '(30, 5)', '(33, 4)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(35, 7)', '(29, 3)', '(31, 6)', '(31, 3)', '(31, 9)', '(33, 3)', '(33, 6)', '(35, 3)', '(29, 5)', '(31, 2)']",13,0,13
33,"(31, 11)","(31, 10)",North,"[('(31, 10)', 'South', 1), ('(30, 11)', 'West', 1)]","['(27, 3)', '(33, 9)', '(31, 11)']","['(30, 11)', '(27, 3)', '(33, 9)']","['(31, 5)', '(31, 11)', '(34, 1)', '(34, 7)', '(31, 8)', '(28, 3)', '(33, 5)', '(32, 3)', '(35, 2)', '(32, 9)', '(35, 5)', '(29, 4)', '(31, 4)', '(31, 1)', '(31, 7)', '(34, 3)', '(31, 10)', '(30, 5)', '(33, 4)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(35, 7)', '(29, 3)', '(31, 6)', '(31, 3)', '(31, 9)', '(33, 3)', '(33, 6)', '(35, 3)', '(29, 5)', '(31, 2)']",14,0,14
34,"(33, 9)","(32, 9)",East,"[('(33, 10)', 'North', 1), ('(34, 9)', 'East', 1), ('(32, 9)', 'West', 1)]","['(30, 11)', '(27, 3)', '(33, 9)']","['(34, 9)', '(33, 10)', '(30, 11)', '(27, 3)']","['(31, 5)', '(31, 11)', '(34, 1)', '(34, 7)', '(31, 8)', '(28, 3)', '(33, 5)', '(32, 3)', '(35, 2)', '(32, 9)', '(35, 5)', '(29, 4)', '(31, 4)', '(31, 1)', '(31, 7)', '(34, 3)', '(31, 10)', '(30, 5)', '(33, 4)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(35, 7)', '(29, 3)', '(31, 6)', '(31, 3)', '(31, 9)', '(33, 3)', '(33, 9)', '(33, 6)', '(35, 3)', '(29, 5)', '(31, 2)']",14,0,14
